,domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,class
1991,hjbwrbufvmng.com,0,0,0,15,16,7,com,1
1992,unclxsqrtbdm.net,0,0,0,15,16,7,net,1
1993,kmvhweecbofa.biz,0,0,0,50,16,7,biz,1
1994,xqwvdvaoydug.ru,0,0,0,40,15,7,ru,1
1995,lrgfjtrdhajd.org,0,0,0,15,16,7,org,1
1996,yvhtplnpfoyj.co.uk,0,0,0,23,18,12,uk,1
1997,owbqjvanafhj.info,0,0,0,45,17,6,info,1
1998,pmcrbntixict.com,0,0,0,25,16,7,com,1
1999,pclovlnogqlm.net,0,0,0,25,16,7,net,1
2000,qrmpndhjetgw.biz,0,0,0,15,16,7,biz,1
2001,sfgybowllsdg.ru,0,0,0,17,15,7,ru,1
2002,tuhasgqgjvxq.org,0,0,0,25,16,7,org,1
2003,tkqwnekmrehj.co.uk,0,0,0,33,18,12,uk,1
2004,uarxfvehphct.info,0,0,0,45,17,6,info,1
2005,usqnpgqliujb.com,0,0,0,36,16,7,com,1
2006,iwrcvbduupjl.net,0,0,0,36,16,7,net,1
2007,wbbkhvesqshj.biz,0,0,0,15,16,7,biz,1
2008,kfcynqqcdnht.ru,0,0,0,8,15,7,ru,1
2009,ybvvhynjtifx.org,0,0,0,15,16,7,org,1
2010,mfwkntasgdfi.co.uk,0,0,0,33,18,12,uk,1
2011,bjgsyobqcgdg.info,0,0,0,23,17,6,info,1
2012,onhhfjnaobdq.com,0,0,0,36,16,7,com,1
2013,dlbftqjjsyrl.net,0,0,0,7,16,7,net,1
2014,ebcglltxficr.biz,0,0,0,25,16,7,biz,1
2015,ftlclgwqbwpt.ru,0,0,0,8,15,7,ru,1
2016,gjmddbhfngaa.org,0,0,0,25,16,7,org,1
2017,htgnljghemni.co.uk,0,0,0,33,18,12,uk,1
2018,ijhodeqvqvxo.info,0,0,0,60,17,6,info,1
2019,jcqkdytomklq.com,0,0,0,15,16,7,com,1
2020,krrlutedytvw.net,0,0,0,25,16,7,net,1
2021,demhylwtfqcl.biz,0,0,0,15,16,7,biz,1
2022,qinvfdsgdfrr.ru,0,0,0,17,15,7,ru,1
2023,ejwflurietxx.org,0,0,0,50,16,7,org,1
2024,rnxtrmnucine.co.uk,0,0,0,45,18,12,uk,1
2025,fgrjwevquumr.info,0,0,0,45,17,6,info,1
2026,sksxdvrdsjcx.com,0,0,0,7,16,7,com,1
2027,glchjnqftxie.net,0,0,0,25,16,7,net,1
2028,tpdvpfmrrmxk.biz,0,0,0,7,16,7,biz,1
2029,lwwydvpdpuar.ru,0,0,0,27,15,7,ru,1
2030,mmxaunjxnxuc.org,0,0,0,36,16,7,org,1
2031,mchwpfkroxve.co.uk,0,0,0,33,18,12,uk,1
2032,nrixhwemmbqo.info,0,0,0,45,17,6,info,1
2033,nycbbooafykx.com,0,0,0,36,16,7,com,1
2034,oodcsgiudcfi.net,0,0,0,67,16,7,net,1
2035,oemynxjoecgk.biz,0,0,0,50,16,7,biz,1
2036,ptnafpdjcfbu.ru,0,0,0,27,15,7,ru,1
2037,rsmvjggxxmtu.org,0,0,0,15,16,7,org,1
2038,fwnkpbshkhtf.co.uk,0,0,0,14,18,12,uk,1
2039,tbwsbpbyyxat.info,0,0,0,23,17,6,info,1
2040,hfxhhknilsae.com,0,0,0,36,16,7,com,1
2041,turxhyfunqeb.net,0,0,0,36,16,7,net,1
2042,hysmntrealel.biz,0,0,0,36,16,7,biz,1
2043,vdcuyiavocka.ru,0,0,0,75,15,7,ru,1
2044,jhdjfdmfbwkk.org,0,0,0,7,16,7,org,1
