domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,class
g2q4ojc6sfqpmxo2yfa.cn,0,0,18,21,22,6,cn,1
g2q4ojc6sfqpmxo2yfa.com,0,0,17,29,23,6,com,1
g2q4ojc6sfqpmxo2yfa.cc,0,0,18,21,22,6,cc,1
g2q4ojc6sfqpmxo2yfa.ws,1,1,18,21,22,6,ws,1
g2q4ojc6sfqpmxo2yfa.sg,0,0,18,21,22,6,sg,1
g2q4ojc6sfqpmxo2yfa.in,2,1,18,31,22,6,in,1
g4c6u47jm6mrgvy47fqhivq.ddns.net,0,0,22,15,32,9,net,1
g4c6u47jm6mrgvy47fqhivq.cn,0,0,27,12,26,6,cn,1
g4c6u47jm6mrgvy47fqhivq.com,0,0,26,19,27,5,com,1
g4c6u47jm6mrgvy47fqhivq.cc,0,0,27,12,26,6,cc,1
g4c6u47jm6mrgvy47fqhivq.ws,0,1,27,12,26,6,ws,1
g4c6u47jm6mrgvy47fqhivq.sg,0,0,27,12,26,6,sg,1
g4c6u47jm6mrgvy47fqhivq.in,0,1,27,20,26,6,in,1
g0gj56ofkx721ra4o67.ddns.net,0,0,32,31,28,12,net,1
g0gj56ofkx721ra4o67.cn,0,0,41,33,22,8,cn,1
g0gj56ofkx721ra4o67.com,0,0,39,44,23,8,com,1
g0gj56ofkx721ra4o67.cc,0,0,41,33,22,8,cc,1
g0gj56ofkx721ra4o67.ws,0,1,41,33,22,8,ws,1
g0gj56ofkx721ra4o67.sg,0,0,41,33,22,8,sg,1
g0gj56ofkx721ra4o67.in,2,1,41,50,22,8,in,1
