domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,class
65ddd05a.eu,0,0,36,100,11,17,eu,1
24b15ca4.eu,0,0,45,150,11,20,eu,1
77687fb4.eu,0,0,55,100,11,25,eu,1
9c0d3bc1.eu,1,0,36,50,11,17,eu,1
cfd418d1.eu,0,0,36,50,11,17,eu,1
c46e2b97.eu,0,0,45,150,11,20,eu,1
97b70887.eu,0,0,64,200,11,33,eu,1
7cd24cf2.eu,0,0,36,50,11,17,eu,1
2f0b6fe2.eu,0,0,36,100,11,17,eu,1
3cba2ac8.eu,0,0,27,133,11,14,eu,1
6f6309d8.eu,0,0,55,100,11,25,eu,1
84064dad.eu,0,0,45,150,11,20,eu,1
d7df6ebd.eu,0,0,18,60,11,12,eu,1
848da6ac.eu,0,0,36,200,11,17,eu,1
d75485bc.eu,0,0,45,67,11,20,eu,1
c5e12a52.eu,0,0,45,400,11,20,eu,1
7d5d4d37.eu,0,0,45,67,11,20,eu,1
b353569e.eu,0,0,55,300,11,25,eu,1
bef31fb.eu,0,0,20,75,10,14,eu,1
583612eb.eu,0,0,55,300,11,25,eu,1
4a83bd05.eu,0,0,45,150,11,20,eu,1
a1e6f970.eu,0,0,45,400,11,20,eu,1
f23fda60.eu,0,0,36,100,11,17,eu,1
f985e926.eu,0,0,55,300,11,25,eu,1
aa5cca36.eu,0,0,27,250,11,14,eu,1
12e0ad53.eu,0,0,45,400,11,20,eu,1
b0320941.eu,0,0,64,200,11,33,eu,1
e3eb2a51.eu,0,0,36,500,11,17,eu,1
5b574d34.eu,0,0,55,100,11,25,eu,1
1a3bc1ca.eu,0,0,27,133,11,14,eu,1
49e2e2da.eu,0,0,36,500,11,17,eu,1
a287a6af.eu,0,0,36,500,11,17,eu,1
f15e85bf.eu,0,0,36,100,11,17,eu,1
3f509e16.eu,0,0,55,300,11,25,eu,1
6c89bd06.eu,1,0,45,67,11,20,eu,1
87ecf973.eu,0,0,45,150,11,20,eu,1
d435da63.eu,0,0,45,150,11,20,eu,1
9559569d.eu,0,0,64,200,11,33,eu,1
c680758d.eu,0,0,55,100,11,25,eu,1
2de531f8.eu,0,0,45,150,11,20,eu,1
7e3c12e8.eu,0,0,45,400,11,20,eu,1
265f02be.eu,0,0,45,150,11,20,eu,1
cd3a46cb.eu,0,0,27,75,11,14,eu,1
9ee365db.eu,0,0,36,200,11,17,eu,1
f7927391.eu,0,0,64,200,11,33,eu,1
a44b5081.eu,0,0,55,300,11,25,eu,1
4f2e14f4.eu,0,0,45,150,11,20,eu,1
1cf737e4.eu,0,0,45,150,11,20,eu,1
5d9bbb1a.eu,0,0,27,75,11,14,eu,1
e527dc7f.eu,0,0,36,100,11,17,eu,1
b6feff6f.eu,0,0,18,60,11,12,eu,1
78f0e4c6.eu,0,0,45,150,11,20,eu,1
2b29c7d6.eu,0,0,45,67,11,20,eu,1
c04c83a3.eu,0,0,45,150,11,20,eu,1
9395a0b3.eu,0,0,55,300,11,25,eu,1
d2f92c4d.eu,0,0,36,50,11,17,eu,1
81200f5d.eu,0,0,55,100,11,25,eu,1
6a454b28.eu,0,0,55,300,11,25,eu,1
399c6838.eu,0,0,64,200,11,33,eu,1
32265b7e.eu,0,0,55,300,11,25,eu,1
61ff786e.eu,0,0,45,150,11,20,eu,1
8a9a3c1b.eu,0,0,36,200,11,17,eu,1
d9431f0b.eu,0,0,45,67,11,20,eu,1
caf25a21.eu,0,0,36,200,11,17,eu,1
992b7931.eu,0,0,64,200,11,33,eu,1
724e3d44.eu,0,0,55,300,11,25,eu,1
4fd17509.eu,0,0,55,100,11,25,eu,1
1c085619.eu,0,0,64,200,11,33,eu,1
5d64dae7.eu,0,0,36,200,11,17,eu,1
ebdf9f7.eu,0,0,20,75,10,14,eu,1
e5d8bd82.eu,0,0,36,100,11,17,eu,1
b6019e92.eu,0,0,55,300,11,25,eu,1
780f853b.eu,0,0,55,100,11,25,eu,1
2bd6a62b.eu,0,0,36,100,11,17,eu,1
c0b3e25e.eu,0,0,36,200,11,17,eu,1
936ac14e.eu,0,0,45,400,11,20,eu,1
d2064db0.eu,0,0,45,67,11,20,eu,1
81df6ea0.eu,0,0,36,200,11,17,eu,1
6aba2ad5.eu,0,0,27,250,11,14,eu,1
396309c5.eu,0,0,64,200,11,33,eu,1
32d93a83.eu,0,0,55,300,11,25,eu,1
8a655de6.eu,0,0,45,400,11,20,eu,1
d9bc7ef6.eu,0,0,27,75,11,14,eu,1
164502f5.eu,0,0,64,200,11,33,eu,1
459c21e5.eu,0,0,55,300,11,25,eu,1
aef96590.eu,0,0,45,400,11,20,eu,1
fd204680.eu,0,0,55,100,11,25,eu,1
bc4cca7e.eu,0,0,18,100,11,12,eu,1
ef95e96e.eu,0,0,36,500,11,17,eu,1
4f0ad1b.eu,0,0,30,100,10,17,eu,1
57298e0b.eu,0,0,55,300,11,25,eu,1
cafeb6b2.eu,0,0,18,100,11,12,eu,1
219bf2c7.eu,0,0,45,67,11,20,eu,1
7242d1d7.eu,0,0,55,100,11,25,eu,1
332e5d29.eu,0,0,55,300,11,25,eu,1
60f77e39.eu,0,0,55,300,11,25,eu,1
8b923a4c.eu,0,0,45,150,11,20,eu,1
d84b195c.eu,0,0,45,67,11,20,eu,1
d3f12a1a.eu,0,0,36,200,11,17,eu,1
6b4d4d7f.eu,0,0,36,50,11,17,eu,1
38946e6f.eu,0,0,55,300,11,25,eu,1
23c5b35.eu,0,0,50,100,10,25,eu,1
e9591f40.eu,0,0,55,300,11,25,eu,1
ba803c50.eu,0,0,45,150,11,20,eu,1
fbecb0ae.eu,0,0,9,125,11,11,eu,1
a83593be.eu,0,0,45,400,11,20,eu,1
4350d7cb.eu,0,0,45,67,11,20,eu,1
1089f4db.eu,0,0,45,67,11,20,eu,1
de87ef72.eu,0,0,36,200,11,17,eu,1
8d5ecc62.eu,0,0,36,100,11,17,eu,1
663b8817.eu,0,0,64,200,11,33,eu,1
35e2ab07.eu,0,0,45,400,11,20,eu,1
748e27f9.eu,0,0,55,300,11,25,eu,1
cc32409c.eu,0,0,45,67,11,20,eu,1
9feb638c.eu,0,0,36,100,11,17,eu,1
945150ca.eu,0,0,55,300,11,25,eu,1
c78873da.eu,0,0,45,150,11,20,eu,1
2ced37af.eu,0,0,27,133,11,14,eu,1
7f3414bf.eu,0,0,45,67,11,20,eu,1
6c855195.eu,0,0,64,200,11,33,eu,1
3f5c7285.eu,0,0,55,100,11,25,eu,1
b046b25a.eu,0,0,45,150,11,20,eu,1
e39f914a.eu,0,0,45,400,11,20,eu,1
a2f31db4.eu,0,0,36,100,11,17,eu,1
f12a3ea4.eu,0,0,36,500,11,17,eu,1
1a4f7ad1.eu,0,0,36,200,11,17,eu,1
499659c1.eu,0,0,64,200,11,33,eu,1
d4416178.eu,0,0,64,200,11,33,eu,1
3f24250d.eu,0,0,55,100,11,25,eu,1
6cfd061d.eu,0,0,36,50,11,17,eu,1
2d918ae3.eu,0,0,45,400,11,20,eu,1
7e48a9f3.eu,0,0,45,400,11,20,eu,1
